model,price,rating,connectivity,processor,ram,storage,battery,display,camera,os,memory_card
Lava Bold N1,"₹5,999",57,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc 9863A, Octa Core Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.75 inches, 1600 x 720 px Display with Water Drop Notch",13 MP Dual Rear & 5 MP Front Camera,Android v14,"Memory Card Supported, upto 256 GB"
Lava Bold N1 Pro,"₹6,599",68,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T606, Octa Core, 1.6 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.67 inches, 1600 x 720 px, 120 Hz Display with Punch Hole",50 MP + Depth Sensor + Macro Triple Rear & 5 MP Front Camera,Android v14,"Memory Card Supported, upto 256 GB"
Jmax 007,₹777,12,No Wifi,,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery,"1.2 inches, 320 x 480 px Display",No Rear Camera,Symbian,"Memory Card (Hybrid), upto 16 GB"
MTR S300,₹950,8,Dual Sim,512 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",300 mAh Battery,"1 inches, 320 x 480 px Display",No Rear Camera,,Memory Card Supported
iQOO Z10R,"₹19,498",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","Dimensity 7400, Octa Core, 2.6 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5700 mAh Battery with 44W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,Memory Card Not Supported
itel A95 5G (6GB RAM + 128GB),"₹10,246",72,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.67 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 8 MP Front Camera,Android v14,Memory Card Supported
Alcatel V3 Pro,"₹13,999",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5200 mAh Battery with 18W Fast Charging,"6.67 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP + 5 MP Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Alcatel V3 Classic,"₹9,999",73,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",5200 mAh Battery with 18W Fast Charging,"6.67 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP + 0.08 MP Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Hotline H106,₹499,13,No Wifi,1.2 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1100 mAh Battery,"1.8 inches, 320 x 480 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 16 GB"
Jmax Pro,₹660,11,Dual Sim,"Snapdragon, 1.4 MHz Processor","32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1150 mAh Battery,"1.8 inches, 120 x 240 px Display",Main Rear Camera,,"Memory Card (Hybrid), upto 16 GB"
Tecno Pova Curve 5G,"₹15,499",78,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5500 mAh Battery with 45W Fast Charging,"6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",64 MP + AI Camera Dual Rear & 13 MP Front Camera,Android v15,
Oppo A5x 5G,"₹12,499",69,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",32 MP Rear & 5 MP Front Camera,Android v15,Memory Card (Hybrid)
Vivo T4 Lite 5G,"₹10,499",73,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 2 TB"
Alcatel V3 Ultra,"₹14,999",83,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5010 mAh Battery with 33W Fast Charging,"6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Android v14,"Memory Card Supported, upto 2 TB"
Oppo A5x 4G,"₹8,998",68,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 6s 4G Gen1, Octa Core, 2.1 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.67 inches, 720 x 1604 px, 90 Hz Display with Punch Hole",32 MP Rear & 5 MP Front Camera,Android v15,Memory Card (Hybrid)
Lava Shark 5G,"₹7,999",58,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T765, Octa Core Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with Fast Charging,"6.75 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",13 MP Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
Vivo Y31 5G,"₹14,699",61,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",6500 mAh Battery with 44W Fast Charging,"6.68 inches, 720 x 1620 px, 120 Hz Display with Water Drop Notch",50 MP + 0.08 MP Dual Rear & 8 MP Front Camera,Android v15,
Samsung Galaxy S25 Edge (12GB RAM + 512GB),"₹1,01,999",89,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8Elite, Octa Core, 4.47 GHz Processor","12 GB RAM, 512 GB inbuilt","12 GB RAM, 512 GB inbuilt",3900 mAh Battery with 25W Fast Charging,"6.7 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",200 MP + 12 MP Dual Rear & 12 MP Front Camera,Android v15,
Jmax Deluxe J20,₹799,15,No Wifi,"Helio, 1.2 MHz Processor","32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",3000 mAh Battery,"1.8 inches, 320 x 480 px Display",1.3 MP Rear Camera,,"Memory Card Supported, upto 16 GB"
GFive Lamborgini,₹699,4,Dual Sim,"Spreadtrum, Single Core, 1.4 MHz Processor","32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,0.66 inches Display,0.3 MP Rear Camera,,
Jmax Deluxe J30,₹490,6,Dual Sim,1.4 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1150 mAh Battery,1.8 inches Display,0.3 MP Rear Camera,,
Jmax PI,₹699,9,Dual Sim,"Unisoc, Single Core, 1.2 GHz Processor","32 MB RAM, 64 MB inbuilt","32 MB RAM, 64 MB inbuilt",1000 mAh Battery,1.44 inches Display,0.3 MP Rear Camera,Symbian v40,Memory Card (Hybrid)
Samsung Galaxy F56 5G (8GB RAM + 256GB),"₹27,999",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1480, Octa Core, 2.7 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.74 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 12 MP Front Camera,Android v15,Memory Card Not Supported
Realme P1 Speed 5G (8GB RAM + 256GB),"₹17,999",81,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 E, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v14,"Memory Card (Hybrid), upto 2 TB"
Lava Yuva Star 2,"₹6,497",58,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","UNISOC 9863A, Octa Core Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.75 inches, 720 x 1600 px Display with Water Drop Notch",13 MP Dual Rear & 5 MP Front Camera,Android v14,"Memory Card Supported, upto 1 TB"
Realme C75 5G (6GB RAM + 128GB),"₹12,999",72,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",32 MP Rear & 8 MP Front Camera,Android v15,Memory Card (Hybrid)
Vivo Y19 5G (6GB RAM + 128GB),"₹12,999",70,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5500 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 2 TB"
Samsung Galaxy M06 (4GB RAM + 64GB),"₹8,999",70,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1.5 TB"
MTR Power,"₹1,600",18,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi",1 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",3000 mAh Battery,"2.4 inches, 120 x 240 px Display",5 MP Rear Camera,Android v1.77,
Mixx Flip Elite,"₹1,650",10,Dual Sim,256 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,"2.4 inches, 120 x 240 px Display",0.3 MP Rear Camera,,Memory Card (Hybrid)
Motorola Edge 60 Pro (12GB RAM + 256GB),"₹32,000",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Dimensity 8350 Extreme, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 90W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 10 MP Triple Rear & 50 MP Front Camera,Android v15,
Samsung Galaxy A26 (6GB RAM + 128GB),"₹23,499",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Water Drop Notch",50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Ringme R1 Pro Micro 4,₹749,14,"Dual Sim, 3G",1 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery with Fast Charging,"0.66 inches, 240 x 320 px Display",2 MP Rear Camera,,"Memory Card (Hybrid), upto 32 GB"
Samsung Galaxy F06 5G (4GB RAM + 64GB),"₹8,299",70,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 720 x 1600 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1 TB"
CMF Phone 2 Pro 5G (8GB RAM + 256GB),"₹19,900",84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 Pro, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
