model,price,rating,connectivity,processor,ram,storage,battery,display,camera,os,memory_card
BlackZone S25 Ultra Maxx,"₹8,999",63,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Spreadtrum, Octa Core, 1.6 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5000 mAh Battery,"6.6 inches, 720 x 1612 px Display",32 MP Rear & 16 MP Front Camera,Android v14,
Ringme Bold P70,"₹5,800",44,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Dual Core, 1.3 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",3260 mAh Battery,"6.3 inches, 128 x 160 px Display",13 MP Rear Camera,Android,
Lava Shark 5G (4GB RAM + 128GB),"₹8,998",60,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T765, Octa Core Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with Fast Charging,"6.75 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",13 MP Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
Hotline Amaze Clear 32,₹470,11,No Wifi,1.3 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,"1.8 inches, 128 x 160 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 32 GB"
Jmax Nano,₹777,8,Dual Sim,225 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery,"0.66 inches, 320 x 480 px Display",0.3 MP Rear Camera,,
Jmax Lambo,₹777,8,Dual Sim,245 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery,"0.66 inches, 320 x 480 px Display",0.3 MP Rear Camera,,
Ringme Bold Z,₹990,9,Dual Sim,100 kHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 120 x 240 px Display",0.3 MP Rear Camera,,
Vivo Y19s 5G (4GB RAM + 128GB),"₹11,999",69,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,Android v15,Memory Card Supported
Vivo Y19s 5G (4GB RAM + 64GB),"₹10,999",68,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,Android v15,Memory Card Supported
Vivo Y19s 5G,"₹13,499",71,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,Android v15,Memory Card Supported
Ringme R1 Bold X,₹990,10,Dual Sim,100 kHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 240 x 320 px Display",0.3 MP Rear Camera,,
Hotline Royal Flip,₹999,14,No Wifi,"Unisoc, Quad Core, 1.2 MHz Processor","64 MB RAM, 32 MB inbuilt","64 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 320 x 480 px Display",1 MP Rear Camera,Symbian v40,
Jmax Stealth,₹777,7,Dual Sim,225 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery,"0.66 inches, 320 x 480 px Display",0.3 MP Rear Camera,,
Peace Nova 1,₹649,10,Dual Sim,1.77 MHz Processor,"8 MB RAM, 32 MB inbuilt","8 MB RAM, 32 MB inbuilt",850 mAh Battery,"1.77 inches, 320 x 480 px Display",0.3 MP Rear Camera,,Memory Card Supported
Nothing Phone 3a Lite (8GB RAM + 256GB),"₹20,999",84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 7300 Pro, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Peace P4 New,₹630,16,"Dual Sim, 3G, Wi-Fi",1.2 MHz Processor,"64 MB RAM, 256 MB inbuilt","64 MB RAM, 256 MB inbuilt",850 mAh Battery,"1.8 inches, 320 x 240 px Display",0.3 MP Rear Camera,,
Foneme F115 Pro,₹849,6,Dual Sim,"Single Core, 1.77 MHz Processor","8 MB RAM, 16 MB inbuilt","8 MB RAM, 16 MB inbuilt",1000 mAh Battery,"1.4 inches, 128 x 160 px Display",0.3 MP Rear Camera,Symbian v9.1,
Hotline Ghost,₹666,7,"Dual Sim, 3G","Spreadtrum, 1.2 GHz Processor","32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery,"0.66 inches, 120 x 240 px Display",0.3 MP Rear Camera,v30,
Motorola Moto G67 Power 5G,"₹15,999",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 30W Fast Charging,"6.7 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1 TB"
Peace Honor 30,"₹5,599",38,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt","3 GB RAM, 32 GB inbuilt",3000 mAh Battery,"4.5 inches, 412 x 960 px Display",8 MP Rear Camera,Android,
Peace P30,₹749,11,Dual Sim,300 kHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 240 x 320 px Display",1.3 MP Rear Camera,,
GFive Flip 1,₹999,12,Dual Sim,"Unisoc, Quad Core, 1.2 MHz Processor","64 MB RAM, 32 MB inbuilt","64 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 320 x 480 px Display",1 MP Rear Camera,Symbian v40,
Ulefone Armor 29 Pro 5G,"₹86,500",96,"Dual Sim, 3G, 4G, 5G, Wi-Fi, NFC, IR Blaster","Dimensity 7400, Octa Core, 2.6 GHz Processor","16 GB RAM, 512 GB inbuilt","16 GB RAM, 512 GB inbuilt",21200 mAh Battery with 120W Fast Charging,"6.67 inches, 1080 x 2400 px Display",64 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,,Memory Card Supported
Peace MINI 1,"₹4,180",36,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt","3 GB RAM, 32 GB inbuilt",2000 mAh Battery,"2.95 inches, 360 x 640 px Display",8 MP Rear Camera,Android v12.0,
Lava Shark 2,"₹6,999",67,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T2750, Octa Core, 1.8 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.75 inches, 720 x 1612 px Display with Punch Hole",50 MP Rear & 8 MP Front Camera,Android v15,"Memory Card Supported, upto 256 GB"
Peace Mini 6,"₹4,490",37,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt","3 GB RAM, 32 GB inbuilt",2000 mAh Battery,"3.75 inches, 412 x 960 px Display",8 MP Rear Camera,Android v12.0,
Karbonn K103i,₹880,10,No Wifi,"Helio, 100 kHz Processor","35 MB RAM, 30 MB inbuilt","35 MB RAM, 30 MB inbuilt",1000 mAh Battery,1.8 inches Display,No Rear Camera,,"Memory Card (Hybrid), upto 32 GB"
Peace P40,₹749,11,Dual Sim,,"64 MB RAM, 128 MB inbuilt","64 MB RAM, 128 MB inbuilt",2500 mAh Battery,"2.4 inches, 320 x 240 px Display",0.3 MP Rear Camera,,
Karbonn K104i,₹876,11,No 3G,100 kHz Processor,"40 MB RAM, 35 MB inbuilt","40 MB RAM, 35 MB inbuilt",1000 mAh Battery,"1.8 inches, 128 x 160 px Display",No Rear Camera,,
Peace Mini 3,"₹4,400",38,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.3 GHz Processor","3 GB RAM, 32 GB inbuilt","3 GB RAM, 32 GB inbuilt",2000 mAh Battery,"2.95 inches, 360 x 640 px Display",8 MP Rear Camera,Android v12,
Peace Mini 2,"₹4,490",36,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt","3 GB RAM, 32 GB inbuilt",2000 mAh Battery,"2.95 inches, 360 x 640 px Display",8 MP Rear Camera,Android v12,
Peace Mini 5,"₹4,040",37,"Dual Sim, 3G, 4G, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt","3 GB RAM, 32 GB inbuilt",2000 mAh Battery,"3.75 inches, 412 x 960 px Display",8 MP Rear Camera,Android v12,
Peace Mini 4,"₹4,649",40,"Dual Sim, 3G, 4G, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","32 GB RAM, 3 GB inbuilt","32 GB RAM, 3 GB inbuilt",2000 mAh Battery,"3.75 inches, 412 x 960 px Display",8 MP Rear Camera,Android,
Nothing Phone 3a Lite,"₹19,999",83,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 7300 Pro, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
iKall I4 4G,"₹1,549",16,"Dual Sim, 4G",1.3 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 240 x 320 px Display",0.3 MP Rear Camera,Symbian v9.1,"Memory Card Supported, upto 32 MB"
Snexian Guru 10,₹899,15,No Wifi,,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 320 x 240 px Display",0.3 MP Rear Camera,Symbian v30,"Memory Card Supported, upto 16 GB"
Philips E2101C,"₹1,075",9,,,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,1.77 inches Display,No Rear Camera,,"Memory Card Supported, upto 32 GB"
Samsung Galaxy M17 5G (8GB RAM + 128GB),"₹15,499",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1330, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Samsung Galaxy M17 5G (6GB RAM + 128GB),"₹13,999",79,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1330, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
GFive A98 New,₹666,12,No Wifi,1.2 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,"1.44 inches, 320 x 240 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 16 GB"
Hotline Zeus 50,₹599,13,Dual Sim,"Helio, 1.3 MHz Processor","32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",3000 mAh Battery,"1.8 inches, 128 x 160 px Display",1.3 MP Rear Camera,Symbian,"Memory Card Supported, upto 16 GB"
BlackZone F29 Pro,"₹7,500",62,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Octa Core, 1 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5000 mAh Battery,"6.74 inches, 1600 x 720 px Display",40 MP Rear & 20 MP Front Camera,Android v13,
GFive Smile 2,₹799,13,Dual Sim,"Spreadtrum, 225 MHz Processor","32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1100 mAh Battery,"1.44 inches, 320 x 480 px Display",1 MP Rear Camera,Symbian v40,"Memory Card (Hybrid), upto 32 GB"
itel A90 Limited,"₹6,099",57,"Dual Sim, 3G, 4G, Wi-Fi","Unisoc T7100, Octa Core, 1.8 GHz Processor","3 GB RAM, 64 GB inbuilt","3 GB RAM, 64 GB inbuilt",5000 mAh Battery with Fast Charging,"6.6 inches, 720 x 1612 px Display",13 MP Rear & 5 MP Front Camera,Android v14,"Memory Card Supported, upto 1 TB"
Vivo V60e (12GB RAM + 256GB),"₹33,999",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7360 Turbo, Octa Core, 2.5 GHz Processor","12 GB RAM, 256 GB inbuilt","12 GB RAM, 256 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",200 MP + 8 MP Dual Rear & 50 MP Front Camera,Android v15,Memory Card Not Supported
GFive A99,₹666,12,No Wifi,1.2 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,"1.44 inches, 320 x 240 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 16 GB"
Lava A2,"₹1,399",11,Dual Sim,"Single Core, 1.5 MHz Processor","4 MB RAM, 32 MB inbuilt","4 MB RAM, 32 MB inbuilt",1200 mAh Battery,"2.4 inches, 120 x 240 px Display",Digital Rear Camera,,"Memory Card Supported, upto 32 GB"
Motorola Moto G35 5G (8GB RAM + 128GB),"₹12,199",81,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","Unisoc T760, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v14,"Memory Card (Hybrid), upto 1 TB"
Motorola Moto G06 Power,"₹7,895",68,"Dual Sim, 3G, 4G, Wi-Fi","Helio G81, Octa Core, 2 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",7000 mAh Battery,"6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1 TB"
iAir S1 New,₹949,8,Dual Sim,1.4 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1200 mAh Battery,"2.4 inches, 128 x 160 px Display",0.8 MP Rear Camera,,
Hotline Classic H17,₹490,8,Dual Sim,225 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,"1.8 inches, 320 x 480 px Display",0.3 MP Rear Camera,,
Vivo V60e (8GB RAM + 256GB),"₹31,999",86,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7360 Turbo, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",200 MP + 8 MP Dual Rear & 50 MP Front Camera,Android v15,Memory Card Not Supported
Realme 15x 5G (8GB RAM + 128GB),"₹17,999",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 60W Fast Charging,"6.81 inches, 720 x 1570 px, 144 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 50 MP Front Camera,Android v15,Memory Card (Hybrid)
Realme 15x 5G (8GB RAM + 256GB),"₹19,999",81,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",7000 mAh Battery with 60W Fast Charging,"6.81 inches, 720 x 1570 px, 144 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 50 MP Front Camera,Android v15,Memory Card (Hybrid)
Lvix L26-C,₹779,6,Dual Sim,1.77 MHz Processor,"16 MB RAM, 32 MB inbuilt","16 MB RAM, 32 MB inbuilt",1000 mAh Battery,"0.66 inches, 176 x 220 px Display",0.3 MP Rear Camera,Symbian v30,
Realme 15 Pro Game of Thrones Limited Edition,"₹44,999",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","12 GB RAM, 512 GB inbuilt","12 GB RAM, 512 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 50 MP Front Camera,Android v15,
Snexian Rock Power Pro,₹999,11,Dual Sim,1.41 MHz Processor,"32 MB RAM, 256 MB inbuilt","32 MB RAM, 256 MB inbuilt",3000 mAh Battery,"1.8 inches, 120 x 240 px Display",0.3 MP Rear Camera,Symbian v30,
Snexian Bold 40K,"₹1,149",12,No Wifi,1 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.8 inches, 240 x 320 px Display",No Rear Camera,Symbian v30,
Snexian Rock R21,₹749,15,Dual Sim,1 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",3000 mAh Battery,"1.8 inches, 240 x 320 px Display",0.3 MP Rear & 0.3 MP Front Camera,Symbian,"Memory Card Supported, upto 32 GB"
Snexian Rock R22,₹749,14,No Wifi,1 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",3000 mAh Battery,"1.8 inches, 240 x 320 px Display",0.3 MP Rear & 0.3 MP Front Camera,,"Memory Card Supported, upto 32 GB"
Snexian Rock R20,₹849,14,No Wifi,1 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",3000 mAh Battery,"1.8 inches, 240 x 320 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 32 GB"
Snexian Guru 30,₹899,15,No Wifi,,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 320 x 240 px Display",0.3 MP Rear Camera,Symbian v30,"Memory Card Supported, upto 16 GB"
Snexian Guru 20,₹899,15,Triple Sim,,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 320 x 240 px Display",0.3 MP Rear Camera,Symbian v30,"Memory Card Supported, upto 16 GB"
Snexian Bold 2K Pro,₹949,10,Dual Sim,,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,"2.01 inches, 320 x 480 px Display",1.3 MP Rear Camera,Symbian v30,Memory Card Supported
Snexian Rock Power Max,₹999,12,Dual Sim,1.41 MHz Processor,"512 MB RAM, 256 MB inbuilt","512 MB RAM, 256 MB inbuilt",3000 mAh Battery,"1.8 inches, 120 x 240 px Display",0.3 MP Rear Camera,v1.41,
Snexian Guru 555,₹599,10,Dual Sim,1.41 MHz Processor,"512 MB RAM, 256 MB inbuilt","512 MB RAM, 256 MB inbuilt",1000 mAh Battery,"1.8 inches, 120 x 240 px Display",0.3 MP Rear Camera,Symbian v30,
itel Super Guru 4G Pro,"₹1,989",16,"Dual Sim, 4G","Single Core, 1 GHz Processor","64 MB RAM, 128 MB inbuilt","64 MB RAM, 128 MB inbuilt",1200 mAh Battery,"2.4 inches, 320 x 240 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 64 GB"
Lava Bold N1 Lite,"₹5,698",57,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi",Octa Core Processor,"3 GB RAM, 64 GB inbuilt","3 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.75 inches, 720 x 1600 px Display with Water Drop Notch",13 MP Rear & 5 MP Front Camera,Android v15,Memory Card Supported
Oppo Reno 14 5G Diwali Edition,"₹39,999",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v15,
Lvix L1 318,₹619,9,Dual Sim,1.77 MHz Processor,"16 MB RAM, 32 MB inbuilt","16 MB RAM, 32 MB inbuilt",1000 mAh Battery,"1.77 inches, 176 x 220 px Display",0.3 MP Rear Camera,Symbian v30,Memory Card (Hybrid)
Motorola Moto A300,"₹1,264",14,No Wifi,1.5 MHz Processor,"4 MB RAM, 32 MB inbuilt","4 MB RAM, 32 MB inbuilt",1000 mAh Battery,"2 inches, 320 x 240 px Display",1.3 MP Rear Camera,,"Memory Card Supported, upto 64 GB"
Poco M7 Plus 5G (4GB RAM + 128GB),"₹11,299",74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",7000 mAh Battery with 33W Fast Charging,"6.9 inches, 1080 x 2340 px, 144 Hz Display with Punch Hole",50 MP Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Realme P3 Lite 5G (6GB RAM+ 128GB),"₹11,499",75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",32 MP + Depth Sensor Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
itel it2181,₹999,12,Dual Sim,"Single Core, 1 MHz Processor","4 MB RAM, 4 MB inbuilt","4 MB RAM, 4 MB inbuilt",1200 mAh Battery with Fast Charging,"2 inches, 240 x 320 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 32 GB"
itel It9120,"₹1,999",12,Dual Sim,1 GHz Processor,"64 MB RAM, 128 MB inbuilt","64 MB RAM, 128 MB inbuilt",1200 mAh Battery,"2.4 inches, 640 x 480 px Display",0.3 MP Rear Camera,,Memory Card Supported
Samsung Galaxy F07,"₹6,799",69,"Dual Sim, 3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 720 x 1600 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,Memory Card Supported
Hotline K116,₹699,8,Dual Sim,1.4 GHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,"1.44 inches, 240 x 360 px Display",1.3 MP Rear Camera,Symbian v30,
Jmax Tough,₹891,13,Dual Sim,1.2 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",3000 mAh Battery,"1.8 inches, 320 x 480 px Display",0.3 MP Rear Camera,Symbian v40,
GFive A21-C,₹499,18,"Dual Sim, 3G","Unisoc, Quad Core, 1.4 GHz Processor","32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1150 mAh Battery,"1.8 inches, 320 x 480 px Display",1 MP + 0.3 MP Dual Rear Camera,Symbian v30,
Tecno Pova Curve 5G (8GB RAM + 256GB),"₹19,999",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5500 mAh Battery with 45W Fast Charging,"6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",64 MP + AI Camera Dual Rear & 13 MP Front Camera,Android v15,
Jmax Boost,₹899,11,Dual Sim,"Spreadtrum, 1.4 MHz Processor","32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1150 mAh Battery,"1.4 inches, 120 x 240 px Display",0.3 MP Rear Camera,,"Memory Card (Hybrid), upto 16 GB"
itel Muzik 450,"₹1,669",14,Dual Sim,"Single Core, 1 MHz Processor","4 MB RAM, 4 MB inbuilt","4 MB RAM, 4 MB inbuilt",3000 mAh Battery with Fast Charging,"2.4 inches, 240 x 320 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 32 GB"
iKall K32 2025,₹749,6,No Wifi,300 MHz Processor,"24 MB RAM, 32 MB inbuilt","24 MB RAM, 32 MB inbuilt",800 mAh Battery,"0.66 inches, 128 x 160 px Display",No Rear Camera,Symbian v9.1,
Oppo F31 5G (8GB RAM + 256GB),"₹25,999",78,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.57 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v15,
Lava Yuva Smart 2,"₹6,309",56,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc 98663a, Octa Core Processor","3 GB RAM, 64 GB inbuilt","3 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.75 inches, 720 x 1600 px Display with Water Drop Notch",13 MP Dual Rear & 5 MP Front Camera,Android 15 Go,"Memory Card Supported, upto 512 GB"
